Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7524491.019,4692087.78,556.72,2,1,3,1
2,7524521.733,4692087.123,556.312,2,1,3,1
3,7524548.797,4692087.211,556.167,2,1,3,1
4,7524593.445,4692091.665,555.848,2,1,3,1
5,7524602.307,4692092.598,555.756,2,1,3,1
6,7524606.058,4692064.764,555.721,2,1,3,1
7,7524562.627,4692058.27,555.093,2,1,3,1
8,7524503.317,4692049.051,556.56,2,1,3,1
9,7524496.308,4692063.461,556.468,2,1,3,1
10,7524459.648,4692048.342,556.563,2,1,3,1
11,7524428.218,4692032.613,556.644,2,1,3,1
12,7524427.308,4692028.834,556.634,2,1,3,1
13,7524419.318,4692024.854,556.912,2,1,3,1
14,7524387.679,4692010.772,557.586,2,1,3,1
15,7524380.694,4692079.978,557.549,2,1,3,1
16,7524375.052,4692113.021,557.554,2,1,3,1
17,7524377.272,4692112.041,557.563,2,1,3,1
18,7524397.846,4692102.481,558.049,2,1,3,1
19,7524414.202,4692059.664,556.099,2,1,3,1
20,7524428.715,4692062.444,557.012,2,1,3,1
21,7524455.745,4692067.624,557.124,2,1,3,1
22,7524449.651,4692091.445,557.382,2,1,3,1
23,7524484.162,4692088.434,556.725,2,1,3,1
24,7524448.26,4692091.561,565.646,2,1,3,1
25,7524425.271,4692095.242,556.925,2,1,3,1
26,7524442.078,4692093.419,557.126,2,1,3,1
